id,elevation,ozone,NO2,azimuth,zenith,incidence_azimuth,incidence_zenith,file_name_l1,value_550
1454,22,317,0.19,121.2,20,211.3,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180608T082601_20180608T083239_T36SWD.tif,0.094
1455,22,296,0.185,118.9,24,103.9,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180718T083011_20180718T083010_T36SVD.tif,0.125
1456,22,296,0.185,118.9,24,212,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180718T083011_20180718T083010_T36SWD.tif,0.125
1457,22,295,0.184,120.7,24.6,211.2,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180723T082649_20180723T083629_T36SWD.tif,0.127
1458,22,295,0.183,122.7,25.3,212.1,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180728T082601_20180728T082918_T36SWD.tif,0.125
1460,22,293,0.18,126.9,27,212.3,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180807T082601_20180807T083604_T36SWD.tif,0.208
1461,22,291,0.176,133.3,30.5,105.5,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180822T082559_20180822T083929_T36SVD.tif,0.224
1462,22,290,0.174,135.3,31.9,213,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180827T082601_20180827T083349_T36SWD.tif,0.122
1463,22,288,0.171,144.8,33,103.8,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180906T082601_20180906T083348_T36SVD.tif,0.118
1464,22,286,0.168,147.8,36.4,213.7,3.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180916T082601_20180916T083249_T36SWD.tif,0.135
1465,22,286,0.168,149.2,38.1,105.2,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20180921T082959_20180921T083013_T36SVD.tif,0.138
1466,22,284,0.168,151.6,41.7,105.2,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20181001T082739_20181001T083226_T36SVD.tif,0.123
1467,22,284,0.168,152.7,43.5,103.8,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20181006T082811_20181006T082824_T36SVD.tif,0.136
1468,22,283,0.168,159.4,45.8,103.9,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20181016T082921_20181016T083132_T36SVD.tif,0.121
1469,22,283,0.17,160.2,47.5,105.2,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20181021T082959_20181021T083038_T36SVD.tif,0.257
1470,22,286,0.174,162,52.3,104,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20181105T083121_20181105T083333_T36SVD.tif,0.121
1471,22,292,0.173,155.7,59.3,210.6,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20181125T083251_20181125T083250_T36SWD.tif,0.093
1473,22,324,0.161,153.9,55.4,103.9,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20190203T083141_20190203T083954_T36SVD.tif,0.023
1474,22,324,0.161,153.9,55.4,211.7,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20190203T083141_20190203T083954_T36SWD.tif,0.023
1475,22,340,0.179,147.2,44.1,105.2,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20190310T082749_20190310T083516_T36SVD.tif,0.084
1476,22,341,0.186,145.2,33.7,211.5,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20190404T083111_20190404T083111_T36SWD.tif,0.165
1477,22,339,0.191,131.8,29.8,104,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20190424T082611_20190424T083846_T36SVD.tif,0.469
1479,22,336,0.197,129.6,23,211.7,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20190514T082611_20190514T083608_T36SWD.tif,0.046
1480,22,332,0.196,127.6,22.2,105.1,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20190519T082609_20190519T083508_T36SVD.tif,0.121
1481,22,324,0.193,124,20.9,105,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20190529T082609_20190529T084021_T36SVD.tif,0.446
1482,22,324,0.193,124,20.9,212.3,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20190529T082609_20190529T084021_T36SWD.tif,0.446
1485,22,283,0.168,159.4,45.7,105.2,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20191016T082929_20191016T083251_T36SVD.tif,0.193
1486,22,283,0.17,160.1,47.4,213.1,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20191021T083001_20191021T083014_T36SWD.tif,0.183
1487,22,284,0.171,160.8,49.1,210.9,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20191026T082939_20191026T083358_T36SWD.tif,0.357
1488,22,285,0.172,161.4,50.7,103.9,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20191031T083101_20191031T083825_T36SVD.tif,0.165
1489,22,285,0.172,161.4,50.7,213.1,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20191031T083101_20191031T083825_T36SWD.tif,0.165
1490,22,287,0.175,162.4,53.6,103.8,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20191110T083201_20191110T083155_T36SVD.tif,0.31
1491,22,287,0.175,162.4,53.6,213,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20191110T083201_20191110T083155_T36SWD.tif,0.31
1493,22,302,0.165,160.5,60.7,209.9,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20191220T083341_20191220T083342_T36SWD.tif,0.102
1494,22,312,0.16,156.9,60.4,104.3,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200109T083321_20200109T083324_T36SVD.tif,0.162
1495,22,312,0.16,156.9,60.4,210.1,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200109T083321_20200109T083324_T36SWD.tif,0.162
1496,22,314,0.159,156,59.9,210.4,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200114T083219_20200114T083437_T36SWD.tif,0.121
1497,22,322,0.161,154.5,56.8,210.5,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200129T083211_20200129T083246_T36SWD.tif,0.079
1498,22,324,0.161,153.9,55.5,209.6,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200203T083049_20200203T083510_T36SWD.tif,0.061
1499,22,337,0.175,144.9,47.3,210.7,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200304T082739_20200304T082803_T36SWD.tif,0.086
1500,22,341,0.182,145.9,42.5,105.4,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200314T082719_20200314T083957_T36SVD.tif,0.318
1503,22,340,0.187,137.8,34.1,104,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200408T082601_20200408T083515_T36SVD.tif,0.095
1504,22,340,0.188,136,32.6,105.2,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200413T082559_20200413T083807_T36SVD.tif,0.2
1505,22,340,0.188,136,32.6,210.8,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200413T082559_20200413T083807_T36SWD.tif,0.2
1506,22,338,0.192,136,26.3,103.9,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200428T082601_20200428T082604_T36SVD.tif,0.128
1507,22,333,0.196,127.7,22.2,213.6,3.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200518T082611_20200518T083508_T36SWD.tif,0.345
1508,22,321,0.192,122.6,20.4,105.2,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200602T082609_20200602T082925_T36SVD.tif,0.099
1509,22,321,0.192,122.6,20.4,211.4,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200602T082609_20200602T082925_T36SWD.tif,0.099
1510,22,314,0.189,120.5,19.8,105.2,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200612T082609_20200612T083943_T36SVD.tif,0.088
1511,22,314,0.189,120.5,19.8,211.3,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200612T082609_20200612T083943_T36SWD.tif,0.088
1513,22,305,0.187,114.4,22.5,212.2,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200627T082611_20200627T082607_T36SWD.tif,0.124
1514,22,303,0.187,115,22.7,210.8,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200702T082609_20200702T083552_T36SWD.tif,0.138
1515,22,298,0.186,117.2,23.4,105.5,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200712T082609_20200712T083338_T36SVD.tif,0.174
1516,22,296,0.185,124.8,21.3,104,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200717T082611_20200717T083233_T36SVD.tif,0.15
1517,22,296,0.185,124.8,21.3,211.6,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200717T082611_20200717T083233_T36SWD.tif,0.15
1518,22,295,0.184,120.5,24.5,105.5,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200722T082609_20200722T083747_T36SVD.tif,0.221
1519,22,295,0.183,122.5,25.2,211.8,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200727T082611_20200727T083817_T36SWD.tif,0.169
1520,22,290,0.174,135.1,31.8,212.9,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200826T082611_20200826T082650_T36SWD.tif,0.127
1521,22,285,0.168,150.3,39.7,212.6,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200925T082711_20200925T083306_T36SWD.tif,0.222
1522,22,284,0.168,151.5,41.5,105.2,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20200930T082739_20200930T082855_T36SVD.tif,0.204
1523,22,284,0.171,164,48.4,103.9,6.2,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20201025T083031_20201025T083307_T36SVD.tif,0.15
1524,22,287,0.175,162.4,53.6,211.1,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20201109T083149_20201109T083301_T36SWD.tif,0.303
1525,22,312,0.16,160,59.5,211.6,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20210108T083229_20210108T083257_T36SWD.tif,0.158
1526,22,339,0.178,141.4,46.6,211.8,3.1,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20210309T082739_20210309T083032_T36SWD.tif,0.49
1527,22,341,0.185,141.6,37.3,105.2,6.3,CUT-TEPAK_34-674806_33-04275_COPERNICUS_S2_20210329T082559_20210329T083027_T36SVD.tif,0.093
1528,21,250,0.125,149.4,43.5,176.3,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20181214T113459_20181214T114010_T28PBA.tif,0.44
1530,21,248,0.124,137.9,46.6,176.5,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190118T113411_20190118T114541_T28PBA.tif,0.213
1531,21,248,0.124,137.9,46.6,137,3.2,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190118T113411_20190118T114541_T28PBB.tif,0.213
1532,21,248,0.125,160.7,35.8,176.6,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190123T113359_20190123T113800_T28PBA.tif,0.118
1533,21,250,0.126,134.1,41.8,137,3.2,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190207T113321_20190207T114333_T28PBB.tif,0.515
1534,21,252,0.128,136.5,35.7,136.5,3.2,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190217T113321_20190217T114111_T28PBB.tif,0.314
1535,21,254,0.129,131.4,36.2,136.6,3.2,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190222T113319_20190222T113948_T28PBB.tif,0.364
1536,21,259,0.132,125.2,31.4,135.6,3.2,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190309T113311_20190309T114413_T28PBB.tif,0.201
1537,21,263,0.133,115.2,28.2,136.5,3.2,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190324T113319_20190324T114502_T28PBB.tif,0.261
1541,21,270,0.138,83.8,22.3,139.2,3.1,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190503T113329_20190503T114325_T28PBB.tif,0.4
1542,21,274,0.142,71,22.8,138.3,3.1,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190523T113329_20190523T114735_T28PBB.tif,0.256
1543,21,275,0.143,68.8,23,175.2,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190528T113321_20190528T114104_T28PBA.tif,0.383
1544,21,278,0.145,65.7,23.4,174.5,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190607T113321_20190607T114548_T28PBA.tif,0.406
1545,21,281,0.146,64.7,24.3,175.8,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190617T113321_20190617T114549_T28PBA.tif,0.994
1546,21,283,0.146,65.3,24.9,176.4,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190627T113321_20190627T114448_T28PBA.tif,0.786
1548,21,286,0.144,68.6,21.7,177.5,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190717T113321_20190717T114627_T28PBA.tif,0.284
1549,21,286,0.144,68.6,21.7,137.9,3.1,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190717T113321_20190717T114627_T28PBB.tif,0.284
1550,21,285,0.139,78.1,24.6,177.1,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20190801T113329_20190801T114406_T28PBA.tif,0.292
1553,21,266,0.127,140.1,31.7,137,3.2,Dakar_14-394167_-16-958611_COPERNICUS_S2_20191020T113319_20191020T113845_T28PBB.tif,0.303
1554,21,262,0.128,145,34,136.9,3.2,Dakar_14-394167_-16-958611_COPERNICUS_S2_20191030T113319_20191030T114115_T28PBB.tif,0.171
1555,21,261,0.129,146.6,35.3,178.1,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20191104T113321_20191104T114024_T28PBA.tif,0.277
1556,21,261,0.129,146.6,35.3,138.5,3.1,Dakar_14-394167_-16-958611_COPERNICUS_S2_20191104T113321_20191104T114024_T28PBB.tif,0.277
1557,21,257,0.13,153.3,36.3,137.9,3.1,Dakar_14-394167_-16-958611_COPERNICUS_S2_20191114T113331_20191114T114025_T28PBB.tif,0.462
1559,21,250,0.125,150.3,43.1,135.6,3.2,Dakar_14-394167_-16-958611_COPERNICUS_S2_20191214T113451_20191214T114022_T28PBB.tif,0.276
1560,21,248,0.125,147.8,44.3,174.3,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20191229T113359_20191229T114542_T28PBA.tif,0.241
1561,21,248,0.124,145.5,44.3,174.5,2.8,Dakar_14-394167_-16-958611_COPERNICUS_S2_20200108T113349_20200108T114539_T28PBA.tif,0.219
1562,21,247,0.124,145.4,43.4,135,3.2,Dakar_14-394167_-16-958611_COPERNICUS_S2_20200113T113431_20200113T114014_T28PBB.tif,0.134
1563,15,278,0.141,66.8,23.9,135.6,3.2,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20190607T113321_20190607T114548_T28PBB.tif,0.369
1564,15,283,0.143,66.8,26.1,100.1,5.7,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20190627T113321_20190627T114448_T27PZS.tif,1.058
1568,15,285,0.141,79,26,101.3,5.7,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20190801T113329_20190801T114406_T27PZS.tif,0.305
1569,15,248,0.136,141.9,44.5,101.9,5.8,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20200118T113319_20200118T114541_T27PZS.tif,0.63
1570,15,264,0.132,111.7,32.3,136,3.2,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20200323T113321_20200323T113829_T28PBB.tif,0.295
1571,15,274,0.139,71.4,22,99.5,5.6,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20200522T113331_20200522T113705_T27PZS.tif,0.362
1572,15,284,0.143,68.4,26,101.9,5.8,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20200706T113319_20200706T114123_T27PZS.tif,1.277
1573,15,274,0.134,138.8,22.7,100.2,5.7,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20200929T113321_20200929T113454_T27PZS.tif,0.361
1576,15,270,0.131,120.2,39.5,140.7,3.1,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20201009T113331_20201009T113455_T28PBB.tif,0.546
1577,15,266,0.13,142.5,31,141.6,3.1,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20201019T113321_20201019T113454_T28PBB.tif,0.287
1579,15,265,0.131,144.5,32.4,138,3.2,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20201024T113319_20201024T114538_T28PBB.tif,0.28
1582,15,258,0.133,123.9,36.4,138.5,3.1,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20210303T113319_20210303T114537_T28PBB.tif,0.517
1583,15,264,0.132,115.3,29,101.4,5.7,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20210323T113319_20210323T114233_T27PZS.tif,0.219
1585,15,265,0.132,111.7,28.1,100.1,5.7,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20210328T113321_20210328T114435_T27PZS.tif,0.436
1586,15,250,0.133,137.1,40.6,137.2,3.2,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20220206T113319_20220206T114547_T28PBB.tif,0.401
1587,15,260,0.133,123.9,33.3,138.6,3.1,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20220308T113319_20220308T114441_T28PBB.tif,0.246
1588,15,262,0.133,122.2,31.1,100,5.6,Dakar_Belair_14-7017_-17-4256_COPERNICUS_S2_20220313T113321_20220313T113453_T27PZS.tif,0.794
1589,1470,370,0.143,153.6,41.3,202.3,2.9,Dalanzadgad_43-577222_104-419167_COPERNICUS_S2_20190403T035711_20190403T035709_T48TVP.tif,0.107
1590,1470,355,0.098,162.7,67.8,200.9,2.9,Dalanzadgad_43-577222_104-419167_COPERNICUS_S2_20200108T040131_20200108T040132_T48TVP.tif,0.076
1591,1470,369,0.106,158.3,61.8,200.3,2.9,Dalanzadgad_43-577222_104-419167_COPERNICUS_S2_20200207T035921_20200207T040413_T48TVP.tif,0.11
1592,1470,303,0.175,142.5,29.9,201.9,2.9,Dalanzadgad_43-577222_104-419167_COPERNICUS_S2_20200731T035539_20200731T035539_T48TVP.tif,0.139
1593,1589,349,0.138,158.9,59.6,194.3,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20180221T102031_20180221T102033_T32TNS.tif,0.157
1594,1589,297,0.186,158.5,43.4,195.5,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20180909T102021_20180909T102205_T32TNS.tif,0.038
1595,1589,292,0.184,164.8,46.4,195.9,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20180919T102021_20180919T102018_T32TNS.tif,0.104
1596,1589,281,0.174,167.1,57.7,194,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20181019T102031_20181019T102029_T32TNS.tif,0.02
1597,1589,302,0.12,165.6,71.5,194.1,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20181218T102431_20181218T102426_T32TNS.tif,0.018
1598,1589,338,0.134,160.2,64.6,193.8,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20190206T102211_20190206T102327_T32TNS.tif,0.02
1599,1589,346,0.125,159.3,61.5,193.7,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20190216T102111_20190216T102131_T32TNS.tif,0.012
1601,1589,360,0.191,170.5,50.2,193.7,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20190313T102019_20190313T102552_T32TNS.tif,0.038
1602,1589,337,0.187,147.8,26.3,194,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20190626T102031_20190626T102737_T32TNS.tif,0.202
1603,1589,309,0.192,154.4,35,194.4,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20190815T102031_20190815T102026_T32TNS.tif,0.079
1606,1589,288,0.182,165.6,50.1,192.6,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20190929T102029_20190929T102700_T32TNS.tif,0.03
1607,1589,281,0.178,166.7,55.8,194,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20191014T102031_20191014T102207_T32TNS.tif,0.052
1608,1589,285,0.144,169.4,66.7,193.7,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20191118T102219_20191118T102220_T32TNS.tif,0.083
1609,1589,327,0.156,162.5,68.4,192.4,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20200122T102321_20200122T102411_T32TNS.tif,0.034
1610,1589,331,0.149,156,68.7,192.6,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20200127T102209_20200127T102204_T32TNS.tif,0.07
1613,1589,334,0.187,145.7,27,193.8,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20200630T102031_20200630T102422_T32TNS.tif,0.039
1615,1589,319,0.189,160.2,28.5,192.6,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20200725T101559_20200725T102124_T32TNS.tif,0.123
1618,1589,295,0.185,159,45.1,193.7,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20200913T101629_20200913T102037_T32TNS.tif,0.225
1619,1589,282,0.178,167.6,55.6,198,2.9,Davos_46-81281_9-84369_COPERNICUS_S2_20201013T101909_20201013T101905_T32TNS.tif,0.078
1620,1589,346,0.122,159.4,61.6,194.3,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20210215T102121_20210215T102741_T32TNS.tif,0.023
1621,1589,349,0.135,160.3,59.6,193.9,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20210220T101939_20210220T102440_T32TNS.tif,0.035
1622,1589,357,0.175,161.7,53.5,194.4,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20210307T102021_20210307T102135_T32TNS.tif,0.095
1623,1589,355,0.19,149.8,28.3,194,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20210526T102021_20210526T102625_T32TNS.tif,0.049
1624,1589,317,0.189,158.4,29.9,194.1,2.8,Davos_46-81281_9-84369_COPERNICUS_S2_20210730T101559_20210730T102410_T32TNS.tif,0.109
1625,243,287,0.354,170.3,53.1,102.3,5,Dayton_39-775977_-84-109618_COPERNICUS_S2_20191027T162359_20191027T162926_T16TGK.tif,0.063
1627,243,338,0.316,161.5,54.7,102.3,5,Dayton_39-775977_-84-109618_COPERNICUS_S2_20200214T162349_20200214T162924_T16TGK.tif,0.12
1628,243,344,0.318,157.3,50,100.9,5,Dayton_39-775977_-84-109618_COPERNICUS_S2_20200229T162211_20200229T163139_T16TGK.tif,0.062
1629,243,344,0.318,157.3,50,106.5,4.3,Dayton_39-775977_-84-109618_COPERNICUS_S2_20200229T162211_20200229T163139_T17TKE.tif,0.062
1630,243,348,0.319,157.5,45.9,106.7,4.3,Dayton_39-775977_-84-109618_COPERNICUS_S2_20200310T162101_20200310T162916_T17TKE.tif,0.058
1631,243,352,0.277,143.2,31.2,107.6,4.3,Dayton_39-775977_-84-109618_COPERNICUS_S2_20200424T161829_20200424T162601_T17TKE.tif,0.208
1632,243,348,0.262,129.6,30.5,101,4.9,Dayton_39-775977_-84-109618_COPERNICUS_S2_20200509T161911_20200509T162524_T16TGK.tif,0.055
1633,243,317,0.233,128.1,26.9,107.1,4.3,Dayton_39-775977_-84-109618_COPERNICUS_S2_20200718T161911_20200718T162524_T17TKE.tif,0.161
1636,243,291,0.331,159.1,47.4,107.5,4.2,Dayton_39-775977_-84-109618_COPERNICUS_S2_20201006T162151_20201006T163041_T17TKE.tif,0.312
1637,243,287,0.353,162.5,55.9,102.4,5,Dayton_39-775977_-84-109618_COPERNICUS_S2_20201031T162429_20201031T163013_T16TGK.tif,0.042
1638,243,285,0.349,178.2,57.2,102.4,5,Dayton_39-775977_-84-109618_COPERNICUS_S2_20201110T162519_20201110T163141_T16TGK.tif,0.052
1639,243,297,0.357,164.2,63.9,107.2,4.2,Dayton_39-775977_-84-109618_COPERNICUS_S2_20201205T162651_20201205T162646_T17TKE.tif,0.128
1640,243,319,0.329,167.8,63.4,107.6,4.2,Dayton_39-775977_-84-109618_COPERNICUS_S2_20210104T162701_20210104T162655_T17TKE.tif,0.107
1642,158,366,0.223,156.1,36.6,106.8,8.8,Debrzyna_PULS_53-7825_16-592157_COPERNICUS_S2_20200515T100031_20200515T100032_T33UWV.tif,0.072
1643,158,355,0.212,159.2,32.1,106.9,8.9,Debrzyna_PULS_53-7825_16-592157_COPERNICUS_S2_20210609T100031_20210609T100407_T33UWV.tif,0.128
1644,158,353,0.209,159,31.8,132.8,3.4,Debrzyna_PULS_53-7825_16-592157_COPERNICUS_S2_20210614T100029_20210614T100222_T33UXV.tif,0.112
1645,1601,308,0.355,156.1,64.7,107.1,10.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190114T174659_20190114T174716_T13TDE.tif,0.025
1646,1601,317,0.342,156.4,61.1,106.5,10.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190129T174601_20190129T174743_T13TDE.tif,0.05
1647,1601,320,0.338,155.2,59.9,107.1,10.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190203T174539_20190203T175226_T13TDE.tif,0.014
1648,1601,325,0.331,156.7,56.9,233.8,3.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190211T175451_20190211T175929_T13TDE.tif,0.082
1649,1601,328,0.327,150.5,57,232.8,3.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190216T175419_20190216T175907_T13TDE.tif,0.054
1650,1601,337,0.321,149.7,48.3,106.7,10.7,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190310T174141_20190310T175052_T13TDE.tif,0.052
1651,1601,340,0.32,148.4,44.4,106.7,10.7,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190320T174031_20190320T175220_T13TDE.tif,0.042
1652,1601,336,0.302,143.7,28.5,233.8,3.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190502T174911_20190502T175729_T13TDE.tif,0.079
1653,1601,335,0.3,123.9,35.2,106.9,10.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190504T173909_20190504T175131_T13TDE.tif,0.185
1654,1601,332,0.289,136.1,26.9,106.9,10.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190514T173909_20190514T174602_T13TDE.tif,0.114
1655,1601,326,0.282,133.3,25.1,106.9,10.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190524T173909_20190524T174342_T13TDE.tif,0.036
1657,1601,306,0.257,126.8,24.2,106.4,10.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190628T173911_20190628T174259_T13TDE.tif,0.036
1658,1601,304,0.255,131,23,234.4,3.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190701T174911_20190701T175708_T13TDE.tif,0.139
1659,1601,299,0.247,131.3,24.2,235,3.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190711T174911_20190711T175709_T13TDE.tif,0.107
1660,1601,298,0.245,127.9,25.8,106.9,10.6,Denver_LaCasa_39-77949_-105-00518_COPERNICUS_S2_20190713T173909_20190713T174607_T13TDE.tif,0.064
